date,open,high,low,close,volume,market_cap,signal,short_ema,long_ema,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-01-02,130.72,130.78,126.38,127.19,213757.05806,213757.05806,0.0,130.62960784313728,130.73437810945276,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,127.19,135.14,125.88,134.35,413055.18895,413055.18895,0.0,130.77550557477898,130.77035444667214,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0562937337841025,0.05629373378410252,0.0,0.0
2020-01-04,134.37,135.85,132.5,134.2,184276.17102,184276.17102,0.0,130.90979947380725,130.80448027307344,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.055114395785832146,-0.0011164867882397234,0.0,1.0000000000000002
2020-01-05,134.2,138.19,134.19,135.37,254120.45343,254120.45343,0.0,131.08470929836383,130.8499083300578,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.06431323217234065,0.008718330849478484,0.0,0.9704019346979198
2020-01-06,135.37,144.41,134.86,144.15,408020.27375,408020.27375,0.0,131.59707363960447,130.98224755065422,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.13334381633776246,0.06485927458077856,0.0,1.1729511311046301
2020-01-07,144.14,145.31,138.76,142.8,447762.17281,447762.17281,0.0,132.03640408511018,131.09983712726464,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.12272977435332977,-0.009365244536940653,0.0,1.790377724259997
2020-01-08,142.8,147.77,137.03,140.72,570465.57764,570465.57764,0.0,132.37693725824312,131.1955601409237,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.10637628744398146,-0.014565826330532272,0.0,1.5164901602037577
2020-01-09,140.76,141.5,135.3,137.74,366076.06569,366076.06569,0.0,132.58725344419437,131.26067894549163,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0829467725450115,-0.02117680500284247,0.0,1.2341917103586157
2020-01-10,137.73,145.17,135.32,144.84,409403.59507,409403.59507,0.0,133.06775330912794,131.39579656792455,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.13876877112980585,0.05154639175257736,0.0,0.9141138946269174
2020-01-11,144.83,148.05,142.09,142.38,368350.57939,368350.57939,0.0,133.43293945386802,131.5050921244626,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.1194276279581728,-0.016984258492129256,0.0,1.3566249192842572
2020-01-12,142.4,146.6,141.76,146.54,229541.86137,229541.86137,0.0,133.94694182822613,131.65469319785106,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.15213460177686922,0.029217586739710644,0.0,1.1357484170057712
2020-01-13,146.56,147.0,142.27,143.58,207996.61865,207996.61865,0.0,134.3247088153545,131.77335296702668,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.12886233194433536,-0.02019926299986341,0.0,1.403933927631659
2020-01-14,143.58,171.7,143.51,165.64,1108476.31186,1108476.31186,0.0,135.5527594500465,132.11033452954385,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.30230364022328793,0.1536425686028693,0.0,1.158290393692614
2020-01-15,165.6,171.98,159.2,166.4,721687.80381,721687.80381,0.0,136.7624551578878,132.45152523074245,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3082789527478576,0.0045882637044194485,0.0,1.5593852896548022
2020-01-16,166.4,167.4,157.8,164.21,456170.86719,456170.86719,0.0,137.83882946542164,132.76752995481468,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.29106061797311117,-0.013161057692307687,0.0,1.5824801359704133
2020-01-17,164.24,174.81,162.14,169.85,767180.67853,767180.67853,0.0,139.0941694863855,133.1365097562593,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3354037267080745,0.03434626393033313,0.0,1.4877410891660567
2020-01-18,169.92,179.5,164.92,174.14,688783.17982,688783.17982,0.0,140.46851578103707,133.54450468405773,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.36913279345860517,0.025257580217839193,0.0,1.6725707114736177
2020-01-19,174.1,178.05,161.66,166.79,624681.28604,624681.28604,0.0,141.50073084844738,133.8753056324751,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3113452315433603,-0.04220741931779026,0.0,1.8128784673121332
2020-01-20,166.79,169.33,161.24,166.87,358092.8841,358092.8841,0.0,142.49560414850825,134.2036110490674,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.31197421180910456,0.00047964506265363305,0.0,1.5017316564787866
2020-01-21,166.86,170.32,164.8,169.49,308007.6353,308007.6353,0.0,143.5542079073903,134.5547193968379,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3325733155122259,0.015700844969137595,0.0,1.5016184888312192
2020-01-22,169.48,171.47,166.03,168.07,272240.90286,272240.90286,0.0,144.5156115188652,134.88820477597383,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.32140891579526687,-0.008378075402678764,0.0,1.5850618297199661
2020-01-23,168.07,168.2,159.21,162.81,373414.34985,373414.34985,0.0,145.23303851812537,135.1660335841731,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.2800534633225883,-0.0312964836080204,0.0,1.532064095043555
2020-01-24,162.85,164.45,155.55,162.54,430013.19902,430013.19902,0.0,145.9117428899636,135.438411359455,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.2779306549257017,-0.0016583747927032544,0.0,1.33623253528971
2020-01-25,162.51,162.79,157.61,160.35,219921.65197,219921.65197,0.0,146.47794905114148,135.686287863341,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.26071232015095525,-0.013473606496862245,0.0,1.3261166887007936
2020-01-26,160.36,168.08,159.41,167.86,251582.55758,251582.55758,0.0,147.31646085305752,136.00642430251173,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.31975784259768864,0.04683504833177432,0.0,1.2499892322213797
2020-01-27,167.91,172.56,165.22,170.08,365894.81917,365894.81917,0.0,148.20914866274154,136.3454648567156,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3372120449720891,0.013225306803288372,0.0,1.460656787227956
2020-01-28,170.04,176.2,170.03,175.64,473433.89609,473433.89609,0.0,149.2848683230262,136.73645525615126,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3809261734413082,0.032690498588899164,0.0,1.5266926142695738
2020-01-29,175.58,178.45,173.33,173.72,317382.90161,317382.90161,0.0,150.24310878094673,137.10445072623932,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3658306470634484,-0.010931450694602551,0.0,1.679677391484017
2020-01-30,173.68,187.0,170.93,184.69,477721.6609,477721.6609,0.0,151.5939672601253,137.57793877871455,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.45207956600361665,0.06314759382915036,0.0,1.6166066541603017
2020-01-31,184.71,185.82,175.22,179.99,385596.53365,385596.53365,0.0,152.70753717149296,137.99994933813034,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.4151269753911472,-0.02544804808056733,0.0,1.8674387786475086
2020-02-01,179.94,184.28,179.23,183.6,259370.12902,259370.12902,0.0,153.91900630202264,138.45368118551212,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.44350970988285243,0.020056669814989547,0.0,1.7194616575064625
2020-02-02,183.63,193.43,179.1,188.44,552621.13619,552621.13619,0.0,155.27277076076683,138.95105749212397,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.48156301596037426,0.026361655773420534,0.0,1.8123704517260912
2020-02-03,188.48,195.19,186.62,189.69,417175.95781,417175.95781,0.0,156.6224660250505,139.45592259170485,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.4913908326126268,0.00663341116535765,0.0,1.9317449171458498
