date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-07-01,365.12,367.36,363.91,364.11,27690454.0,1.0,322.9788,284.00565,1.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.0,0.0,0.0,0.0
2020-07-02,367.85,370.47,363.64,364.11,28814516.0,1.0,324.739,284.72270000000003,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.0,0.0,0.0,0.0
2020-07-06,370.0,375.78,369.87,373.85,29745936.0,1.0,326.7154,285.4781,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.02675015791931012,0.026750157919310125,0.0,0.0
2020-07-07,375.41,378.62,372.23,372.69,28206999.0,1.0,328.5098,286.23675,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.02356430748949489,-0.0031028487361242085,0.0,0.9999999999999998
2020-07-08,376.72,381.5,376.36,381.37,29274479.0,1.0,330.47380000000004,287.05494999999996,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.04740325725742218,0.02329013389143797,0.0,0.8464203034610585
2020-07-09,385.05,385.27,378.69,383.01,31420357.0,1.0,332.56239999999997,287.87640000000005,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.05190739062371255,0.004300285811678961,0.0,1.4598577918854994
2020-07-10,381.34,383.92,378.82,383.68,22564330.0,1.0,334.4814,288.7064,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.05374749388920928,0.0017493015848151217,0.0,1.6056661690935363
2020-07-13,389.06,399.82,381.03,381.91,47913079.0,1.0,336.2436,289.5108,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.048886325560956886,-0.004613219349457798,0.0,1.6461415474892798
2020-07-14,379.36,389.02,375.51,388.23,42748119.0,1.0,338.2268,290.3525,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.06624371755788087,0.016548401455840356,0.0,1.418237489453901
2020-07-15,395.96,396.99,385.96,390.9,38306874.0,1.0,340.18160000000006,291.2129,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.07357666639202429,0.006877366509543181,0.0,1.832258057880165
2020-07-16,386.25,389.62,383.62,386.09,27645927.0,1.0,341.9522,292.0235,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.060366372799428636,-0.012304937324123855,0.0,2.038886018191735
2020-07-17,387.95,388.59,383.36,385.31,23046755.0,1.0,343.64579999999995,292.8271,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.05822416302765644,-0.0020202543448417654,0.0,1.4839552360197008
2020-07-20,385.67,394.0,384.25,393.43,22397208.0,1.0,345.4396,293.69945,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.08052511603636262,0.021073940463522955,0.0,1.41523580216833
2020-07-21,396.69,397.0,386.97,388.0,25627347.0,1.0,346.99699999999996,294.53535,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.06561204031748644,-0.013801692804310872,0.0,1.8006030797832773
2020-07-22,386.77,391.9,386.41,389.09,22250413.0,1.0,348.47860000000003,295.34575,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.0686056411523989,0.002809278350515365,0.0,1.3543320547085789
2020-07-23,387.9935,388.31,368.039,371.38,49251108.0,1.0,349.67800000000005,296.06735000000003,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.019966493642031204,-0.045516461487059456,0.0,1.4156879200970618
2020-07-24,363.95,371.88,356.58,370.46,46359716.0,1.0,350.9342,296.79765,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.017439784680453613,-0.00247724702461094,0.0,0.31914269107071314
2020-07-27,374.84,379.62,373.92,379.24,30303548.0,1.0,352.3282,297.5587,0.0,1.862645149230957e-09,27436.791052182005,9990009.99000999,9990009.990009991,-0.09990009990008548,0.0,0.041553376726813314,0.023700264535982285,0.0,0.2833829095045921
