date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2022-02-04,26.561258,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,26.216862,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,-0.012966125,-0.012966096,0.0,0.0
2022-02-02,26.212246,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,-0.013139904,-0.00017607212,0.0,-1.000000031825515
2022-02-01,26.772577,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.00795591,0.021376729,0.0,-1.0204368707349347
2022-01-31,28.080475,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.057196707,0.048852086,0.0,0.28917516224540735
2022-01-30,30.156666,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.13536285,0.07393718,0.0,1.0510805936376302
2022-01-29,32.902405,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.23873667,0.091049194,0.0,1.5958863963299283
2022-01-28,36.122154,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.35995644,0.097857594,0.0,2.085067172087093
2022-01-27,39.53941,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.48861206,0.094602704,0.0,2.5709331455356472
2022-01-26,42.86621,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.6138622,0.08413887,0.0,3.070523554540394
2022-01-25,45.867153,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.72684413,0.070007205,0.0,3.575546871927542
2022-01-24,48.34729,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.8202184,0.05407214,0.0,4.055559209422799
2022-01-23,50.182274,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.8893033,0.03795421,0.0,4.458999154779941
2022-01-22,51.334515,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.9326838,0.02296114,0.0,4.723628266754015
2022-01-21,51.8311,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.9513797,0.009673476,0.0,4.807305290750021
2022-01-20,51.82757,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.95124686,-6.8068504e-05,0.0,4.71156987593916
2022-01-19,51.56827,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.9414845,-0.0050031543,0.0,4.503120214346927
2022-01-18,51.259235,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.9298497,-0.00599277,0.0,4.272967870192014
2022-01-17,51.05964,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.9223351,-0.0038938522,0.0,4.076234412674005
2022-01-16,51.078377,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.92304057,0.0003669262,0.0,3.9379412246999514
2022-01-15,51.37249,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.93411356,0.005758047,0.0,3.8648432135099178
2022-01-14,51.929768,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.9550944,0.010847807,0.0,3.8531026087576494
2022-01-13,52.68109,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.98338085,0.014468074,0.0,3.889508357548939
2022-01-12,53.557777,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,1.0163871,0.016641378,0.0,3.9563678189392055
2022-01-11,54.472748,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,1.0508347,0.017083764,0.0,4.040259600394144
2022-01-10,55.30359,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,1.0821148,0.015252471,0.0,4.127763137554164
2022-01-09,55.9349,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,1.1058829,0.011415362,0.0,4.202215641543392
2022-01-08,56.318005,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,1.1203064,0.0068491697,0.0,4.2480424644924195
