date,open,high,low,close,volume,market_cap,signal,short_ema,long_ema,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-07-01,9138.08,9292.0,9080.1,9232.0,38488.528699,38488.528699,0.0,9142.214705882352,9139.47985074627,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,9231.99,9261.96,8940.0,9086.54,45725.168076,45725.168076,0.0,9140.031384083046,9138.953086062227,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.01575606585788552,-0.01575606585788547,0.0,0.0
2020-07-03,9086.54,9125.0,9037.47,9058.26,28943.420177,28943.420177,0.0,9136.824663138612,9138.150169783003,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.018819324090121294,-0.0031122957693467956,0.0,-1.0
2020-07-04,9057.79,9190.0,9040.04,9135.46,26441.968484,26441.968484,0.0,9136.771146937099,9138.123401924466,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.01045710571923753,0.00852260809471117,0.0,-1.3054565302112418
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073.653627,34073.653627,0.0,9134.129533331723,9137.439686482432,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.01761156845753901,-0.007230068327155892,0.0,-0.5140286225375679
2020-07-06,9069.41,9375.0,9055.92,9344.2,54463.132277,54463.132277,0.0,9142.367590848125,9139.497003034845,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.012153379549393493,0.03029855304810347,0.0,-0.877329869196102
2020-07-07,9342.47,9379.42,9203.0,9257.39,34587.336678,34587.336678,0.0,9146.878273559963,9140.670067681263,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.002750216637781566,-0.009290254917489027,0.0,0.32540681958972045
2020-07-08,9257.4,9470.0,9231.0,9436.06,56140.517781,56140.517781,0.0,9158.218733420355,9143.609270987918,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.022103552859618663,0.019300256335749166,0.0,0.08537574891536732
2020-07-09,9436.06,9440.79,9160.0,9232.43,48044.450645,48044.450645,0.0,9161.128979168578,9144.493059336297,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,4.657712305029149e-05,-0.021579981475319032,0.0,0.5164910428031974
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295.494006,38295.494006,0.0,9166.117646652163,9145.92437217872,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0061026863084922165,0.006055827122436908,0.0,0.023039551235489973
2020-07-11,9288.34,9299.28,9178.25,9234.03,22561.366,22561.366,0.0,9168.780876195216,9146.801045092367,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0002198873483536238,-0.00584711584631914,0.0,0.14395317579321265
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872.702286,30872.702286,0.0,9174.034567324816,9148.35277598697,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.007663561525129983,0.007442037766825393,0.0,0.0270906088542604
2020-07-13,9303.31,9343.82,9200.89,9242.62,42740.069115,42740.069115,0.0,9176.724192135607,9149.29075831546,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0011503466204506932,-0.006463680094595636,0.0,0.17405097666709513
2020-07-14,9242.61,9279.54,9113.0,9255.85,45772.552509,45772.552509,0.0,9179.827164993036,9150.351049277495,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.002583405545927249,0.0014314123051688554,0.0,0.04595510567709305
2020-07-15,9255.85,9276.49,9160.57,9197.6,39053.579665,39053.579665,0.0,9180.524138914878,9150.821188090655,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.003726169844020758,-0.006293317199392856,0.0,0.07426623216024791
2020-07-16,9197.6,9226.15,9047.25,9133.72,43375.571191,43375.571191,0.0,9178.688682486843,9150.651027015125,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.010645580589254838,-0.006945290075672017,0.0,-0.04938138722745417
2020-07-17,9133.72,9186.83,9089.81,9154.32,28054.358741,28054.358741,0.0,9177.733047879516,9150.687534209004,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.008414211438474902,0.0022553789693575688,0.0,-0.18415922031035276
2020-07-18,9154.31,9219.3,9121.1,9170.28,22554.541457,22554.541457,0.0,9177.440771492084,9150.882484117372,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.006685441941074452,0.0017434391631492296,0.0,-0.14034652292926314
2020-07-19,9170.3,9232.27,9101.35,9208.99,26052.019417,26052.019417,0.0,9178.677996139453,9151.460668355012,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.0024924176776430045,0.00422124515281963,0.0,-0.10650848146550115
2020-07-20,9208.99,9221.52,9131.0,9160.78,35458.764082,35458.764082,0.0,9177.976113937906,9151.553398023121,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.007714471403812754,-0.005235101786406404,0.0,-0.024236637188748748
2020-07-21,9160.78,9437.73,9152.8,9390.0,60413.582486,60413.582486,0.0,9186.29077613642,9153.926001027867,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.017114384748700175,0.02502188678256645,0.0,-0.12550194214992924
2020-07-22,9390.0,9544.0,9261.0,9518.16,48815.004107,48815.004107,0.0,9199.305255503621,9157.550219923112,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.030996533795493917,0.013648562300319522,0.0,0.32255155910679323
