date,open,high,low,close,volume,market_cap,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-04-10,169.56,170.1,152.11,157.81,1314841.362,1314841.362,0.0,161.017,198.173,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,157.81,161.37,153.91,158.33,621599.61289,621599.61289,0.0,162.9024,198.71470000000002,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0032951017045815237,0.0032951017045814712,0.0,0.0
2020-04-12,158.33,164.78,155.0,158.59,809100.24594,809100.24594,0.0,164.5684,199.2588,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0049426525568721956,0.0016421398345227711,0.0,1.0
2020-04-13,158.56,158.97,150.0,156.29,1042091.03622,1042091.03622,0.0,166.44619999999998,199.815,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.009631835751853559,-0.01450280597767839,0.0,1.7301515174427762
2020-04-14,156.28,161.85,155.23,158.45,698030.65089,698030.65089,0.0,167.94639999999998,200.4627,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.004055509790254016,0.013820461961737696,0.0,-0.5842943030975534
2020-04-15,158.46,161.29,152.0,152.73,729119.66505,729119.66505,0.0,169.4782,201.16235,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,-0.032190608960142024,-0.036099715998737736,0.0,0.18765950338357318
2020-04-16,152.74,174.79,148.33,172.29,1647207.59991,1647207.59991,0.0,170.57580000000002,201.83735000000001,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.09175590900449901,0.12806914162247107,0.0,-0.7386068659202515
2020-04-17,172.31,174.96,168.31,170.69,723537.75591,723537.75591,0.0,171.84400000000002,202.64965,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0816171345288638,-0.009286667827500095,0.0,0.6873768664292403
2020-04-18,170.61,189.54,170.48,187.4,1127296.36979,1127296.36979,0.0,172.9208,203.50105,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.18750396045877957,0.09789677192571333,0.0,0.6189787311628054
2020-04-19,187.4,188.35,175.75,180.03,995759.5775,995759.5775,0.0,174.144,204.422,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.14080223053038463,-0.039327641408751335,0.0,1.1250110846747268
2020-04-20,180.02,186.46,166.7,170.2,1547821.52737,1547821.52737,0.0,175.4878,205.28165,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.07851213484570044,-0.05460201077598181,0.0,0.8366936119854202
2020-04-21,170.21,174.7,168.0,170.74,906381.65398,906381.65398,0.0,176.61700000000002,206.15829999999997,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.08193397123122746,0.0031727379553467827,0.0,0.4878388864346519
2020-04-22,170.73,184.0,169.78,182.7,988698.39076,988698.39076,0.0,177.99940000000004,207.09994999999998,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.1577213104366009,0.07004802623872552,0.0,0.5067738711524304
2020-04-23,182.7,193.63,178.16,185.51,1457867.08713,1457867.08713,0.0,179.5198,208.11370000000002,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.17552753310943534,0.015380405035577471,0.0,0.840920495634003
2020-04-24,185.57,189.8,184.72,187.59,780904.21257,780904.21257,0.0,181.328,209.22050000000002,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.18870793992776125,0.011212333566923638,0.0,0.922364939117196
2020-04-25,187.6,198.36,185.76,194.21,866478.04928,866478.04928,0.0,182.9784,210.25060000000002,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.23065711932070215,0.035289727597419995,0.0,0.9824536490058947
2020-04-26,194.21,200.0,192.3,197.38,758525.81533,758525.81533,0.0,184.52360000000002,211.35925000000003,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.2507445662505544,0.016322537459451114,0.0,1.1589932193497627
2020-04-27,197.39,199.05,189.29,196.34,896627.37271,896627.37271,0.0,185.78459999999998,212.45804999999996,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.24415436284139155,-0.0052690242172458435,0.0,1.2450518842203528
2020-04-28,196.33,198.5,192.36,196.24,636829.89397,636829.89397,0.0,187.1062,213.59094999999996,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.24352068943666438,-0.0005093205663644351,0.0,1.2139799129349795
2020-04-29,196.24,218.77,196.22,215.36,1620422.72431,1620422.72431,0.0,188.412,214.73085,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.36467904442050575,0.09743171626579694,0.0,1.2102703807977724
2020-04-30,215.4,227.3,202.0,206.08,1749691.00151,1749691.00151,0.0,189.528,215.79319999999998,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.30587415246182126,-0.043090638930163405,0.0,1.5688761319393318
2020-05-01,206.07,217.14,205.91,212.02,794913.95828,794913.95828,0.0,190.7574,216.9309,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.3435143527026171,0.028823757763975166,0.0,1.317083969802273
2020-05-02,212.01,215.37,210.36,213.9,443494.67248,443494.67248,0.0,191.34879999999998,218.04125,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.35542741271148853,0.008867088010565016,0.0,1.4459081730300833
2020-05-03,213.89,219.3,203.92,209.86,748383.91311,748383.91311,0.0,192.222,219.2044,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.32982700716050956,-0.018887330528284174,0.0,1.4870577109148175
