date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-07-01,1083.0,1135.33,1080.5,1119.63,13326900.0,1.0,872.3844,570.06575,1.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.0,0.0,0.0,0.0
2020-07-02,1221.48,1228.0,1185.6,1208.66,17201300.0,1.0,881.9154000000001,574.8851,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.07951734055000309,0.07951734055000315,0.0,0.0
2020-07-06,1276.69,1377.79,1266.04,1371.58,20569900.0,1.0,895.2344,580.52555,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.22502969731071853,0.1347939039928514,0.0,1.0
2020-07-07,1405.01,1429.5,1336.71,1389.86,21489700.0,1.0,908.5286,586.24185,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.24135651956449877,0.013327695067002931,0.0,1.8260627098218598
2020-07-08,1405.0,1417.26,1311.34,1365.88,16311300.0,1.0,919.8712,591.86815,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.2199387297589382,-0.017253536327399788,0.0,1.821390546071119
2020-07-09,1396.99,1408.56,1351.28,1394.28,11717600.0,1.0,932.3744,597.6334,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.2453042522976339,0.020792456145488414,0.0,1.4823174937022299
2020-07-10,1396.0,1548.92,1376.01,1544.65,23337600.0,1.0,947.2572,604.2406,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.37960754892241183,0.10784777806466428,0.0,1.6432659979229087
2020-07-13,1659.0,1794.99,1471.11,1497.06,38985400.0,1.0,961.5608,610.5824,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.33710243562605485,-0.030809568510665963,0.0,2.186277207995746
2020-07-14,1556.0,1590.0,1431.0,1516.8,23418100.0,1.0,977.8704000000001,616.9536,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.35473326009485256,0.013185844254739232,0.0,1.7843951530742388
2020-07-15,1543.0,1550.0,1457.0,1546.01,16367800.0,1.0,993.5668,623.473,0.0,0.0,8922.599421246296,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,0.38082223591722253,0.01925764767932492,0.0,1.855269519257544
