date,close,VWAP,signal,positions
2022-02-12 16:35:00,42611.84,42511.69312684367,1.0,0.0
2022-02-12 16:40:00,42636.25,42584.34090618762,1.0,0.0
2022-02-12 16:45:00,42585.29,42588.83935897436,0.0,-1.0
2022-02-12 16:50:00,42729.87,42604.85702988151,1.0,1.0
2022-02-12 16:55:00,42730.49,42637.59920310982,1.0,0.0
2022-02-12 17:00:00,42732.9,42647.85489365412,1.0,0.0
2022-02-12 17:05:00,42693.86,42651.31021426235,1.0,0.0
2022-02-12 17:10:00,42657.01,42651.85398148148,1.0,0.0
2022-02-12 17:15:00,42668.02,42652.253445812436,1.0,0.0
2022-02-12 17:20:00,42640.52,42651.86809502599,0.0,-1.0
2022-02-12 17:25:00,42630.88,42651.62877714619,0.0,0.0
2022-02-12 17:30:00,42580.01,42650.62974577475,0.0,0.0
2022-02-12 17:35:00,42589.96,42649.09107281285,0.0,0.0
2022-02-12 17:40:00,42621.61,42648.49764770092,0.0,0.0
2022-02-12 17:45:00,42680.02,42648.57032687652,1.0,1.0
2022-02-12 17:50:00,42700.42,42649.18174016687,1.0,0.0
2022-02-12 17:55:00,42723.95,42650.90388544892,1.0,0.0
2022-02-12 18:00:00,42797.04,42661.84348132236,1.0,0.0
2022-02-12 18:05:00,42898.7,42674.08959117384,1.0,0.0
2022-02-12 18:10:00,42945.14,42684.60980366914,1.0,0.0
2022-02-12 18:15:00,42983.59,42713.93016160436,1.0,0.0
2022-02-12 18:20:00,42923.65,42722.79606756253,1.0,0.0
2022-02-12 18:25:00,42829.36,42727.05745954254,1.0,0.0
2022-02-12 18:30:00,42849.63,42729.68785291258,1.0,0.0
2022-02-12 18:35:00,42858.53,42732.42471688312,1.0,0.0
2022-02-12 18:40:00,42839.99,42733.93650140558,1.0,0.0
2022-02-12 18:45:00,42828.25,42735.09269897359,1.0,0.0
2022-02-12 18:50:00,42842.84,42735.94053927708,1.0,0.0
2022-02-12 18:55:00,42829.94,42736.444116620994,1.0,0.0
2022-02-12 19:00:00,42800.0,42737.99785498737,1.0,0.0
2022-02-12 19:05:00,42853.7,42739.407540640605,1.0,0.0
2022-02-12 19:10:00,42835.51,42740.62787054709,1.0,0.0
2022-02-12 19:15:00,42785.01,42741.59022420823,1.0,0.0
2022-02-12 19:20:00,42705.64,42741.456959951,0.0,-1.0
2022-02-12 19:25:00,42772.04,42741.962076946205,1.0,1.0
2022-02-12 19:30:00,42696.78,42741.80448809525,0.0,-1.0
2022-02-12 19:35:00,42671.15,42739.87177083334,0.0,0.0
2022-02-12 19:40:00,42663.15,42738.31064479478,0.0,0.0
2022-02-12 19:45:00,42623.99,42736.86903501401,0.0,0.0
2022-02-12 19:50:00,42635.34,42735.96834163209,0.0,0.0
2022-02-12 19:55:00,42662.47,42735.43436748438,0.0,0.0
2022-02-12 20:00:00,42527.84,42727.935429039666,0.0,0.0
2022-02-12 20:05:00,42597.85,42725.424852998076,0.0,0.0
2022-02-12 20:10:00,42654.38,42724.56232031151,0.0,0.0
2022-02-12 20:15:00,42605.11,42723.84121206362,0.0,0.0
2022-02-12 20:20:00,42643.16,42723.11904761906,0.0,0.0
2022-02-12 20:25:00,42639.98,42722.69337519526,0.0,0.0
2022-02-12 20:30:00,42735.93,42722.55102997648,1.0,1.0
2022-02-12 20:35:00,42677.97,42722.27497115858,0.0,-1.0
2022-02-12 20:40:00,42622.01,42721.72946547207,0.0,0.0
2022-02-12 20:45:00,42624.64,42721.27326421731,0.0,0.0
2022-02-12 20:50:00,42636.99,42720.72571359722,0.0,0.0
2022-02-12 20:55:00,42622.67,42720.25164897128,0.0,0.0
2022-02-12 21:00:00,42587.68,42719.22624300847,0.0,0.0
2022-02-12 21:05:00,42539.74,42718.13444286814,0.0,0.0
2022-02-12 21:10:00,42585.14,42717.010910637815,0.0,0.0
2022-02-12 21:15:00,42530.61,42715.21116144021,0.0,0.0
2022-02-12 21:20:00,42381.95,42704.34692350644,0.0,0.0
2022-02-12 21:25:00,42424.44,42699.290209191255,0.0,0.0
2022-02-12 21:30:00,42019.81,42657.19881370604,0.0,0.0
2022-02-12 21:35:00,42064.55,42638.39437188412,0.0,0.0
2022-02-12 21:40:00,41957.57,42580.0817395649,0.0,0.0
2022-02-12 21:45:00,41798.5,42560.03580692217,0.0,0.0
2022-02-12 21:50:00,41798.75,42544.54330519482,0.0,0.0
2022-02-12 21:55:00,41877.82,42536.72686823299,0.0,0.0
2022-02-12 22:00:00,41944.65,42525.051889042894,0.0,0.0
2022-02-12 22:05:00,41997.82,42517.98756158249,0.0,0.0
2022-02-12 22:10:00,41933.86,42512.56926318385,0.0,0.0
2022-02-12 22:15:00,42058.63,42507.668162742484,0.0,0.0
2022-02-12 22:20:00,41946.98,42503.27804533722,0.0,0.0
2022-02-12 22:25:00,41980.0,42499.692106570525,0.0,0.0
2022-02-12 22:30:00,42075.25,42497.43679384445,0.0,0.0
2022-02-12 22:35:00,42056.53,42492.5897239288,0.0,0.0
2022-02-12 22:40:00,42041.64,42488.291187743955,0.0,0.0
2022-02-12 22:45:00,42067.69,42485.55996081171,0.0,0.0
2022-02-12 22:50:00,42133.44,42480.02129705995,0.0,0.0
2022-02-12 22:55:00,42175.51,42478.74635668645,0.0,0.0
2022-02-12 23:00:00,42107.08,42476.58419359716,0.0,0.0
2022-02-12 23:05:00,42173.37,42475.478570621475,0.0,0.0
2022-02-12 23:10:00,42217.01,42474.11382237213,0.0,0.0
2022-02-12 23:15:00,42196.76,42473.28043146925,0.0,0.0
2022-02-12 23:20:00,42155.51,42471.91484936399,0.0,0.0
2022-02-12 23:25:00,42177.14,42471.35833426144,0.0,0.0
2022-02-12 23:30:00,42113.74,42470.393495095326,0.0,0.0
2022-02-12 23:35:00,42097.06,42469.23376208399,0.0,0.0
2022-02-12 23:40:00,42108.6,42467.81939347155,0.0,0.0
2022-02-12 23:45:00,42102.82,42466.574784774886,0.0,0.0
2022-02-12 23:50:00,42158.14,42465.18570766762,0.0,0.0
2022-02-12 23:55:00,42217.87,42463.001698857064,0.0,0.0
2022-02-13 00:00:00,42183.64,42460.9879546026,0.0,0.0
2022-02-13 00:05:00,42062.01,42459.35206706707,0.0,0.0
2022-02-13 00:10:00,42120.03,42458.063976564445,0.0,0.0
2022-02-13 00:15:00,42177.32,42457.4074233216,0.0,0.0
2022-02-13 00:20:00,42169.9,42456.02030248354,0.0,0.0
2022-02-13 00:25:00,42201.84,42455.45526618654,0.0,0.0
2022-02-13 00:30:00,42247.96,42454.30521958925,0.0,0.0
2022-02-13 00:35:00,42490.43,42452.88827922077,1.0,1.0
2022-02-13 00:40:00,42483.82,42453.01549875896,1.0,0.0
2022-02-13 00:45:00,42419.7,42452.9344776219,0.0,-1.0
2022-02-13 00:50:00,42353.36,42452.53029958814,0.0,0.0
2022-02-13 00:55:00,42390.82,42452.05104721369,0.0,0.0
2022-02-13 01:00:00,42346.53,42450.99214495591,0.0,0.0
2022-02-13 01:05:00,42421.58,42450.80618838457,0.0,0.0
2022-02-13 01:10:00,42416.62,42450.745928372504,0.0,0.0
2022-02-13 01:15:00,42439.65,42450.659886689195,0.0,0.0
2022-02-13 01:20:00,42412.19,42450.55085482422,0.0,0.0
2022-02-13 01:25:00,42406.8,42450.41435671112,0.0,0.0
2022-02-13 01:30:00,42354.84,42450.20018337798,0.0,0.0
2022-02-13 01:35:00,42347.0,42449.98648973747,0.0,0.0
2022-02-13 01:40:00,42319.99,42449.71265784211,0.0,0.0
2022-02-13 01:45:00,42337.21,42448.94376699152,0.0,0.0
2022-02-13 01:50:00,42290.01,42448.54309806882,0.0,0.0
2022-02-13 01:55:00,42233.77,42446.75591331462,0.0,0.0
2022-02-13 02:00:00,42241.52,42445.92030223962,0.0,0.0
2022-02-13 02:05:00,42250.1,42445.58950072875,0.0,0.0
2022-02-13 02:10:00,42216.74,42445.326400916805,0.0,0.0
2022-02-13 02:15:00,42222.03,42444.97855768933,0.0,0.0
2022-02-13 02:20:00,42171.0,42443.85880052954,0.0,0.0
2022-02-13 02:25:00,42136.15,42442.40282633336,0.0,0.0
2022-02-13 02:30:00,42123.3,42441.39665811652,0.0,0.0
2022-02-13 02:35:00,42188.76,42440.74358037101,0.0,0.0
2022-02-13 02:40:00,42182.11,42439.61165908401,0.0,0.0
2022-02-13 02:45:00,42201.86,42439.186176203446,0.0,0.0
2022-02-13 02:50:00,42218.98,42438.46292892711,0.0,0.0
2022-02-13 02:55:00,42219.44,42438.18190824969,0.0,0.0
2022-02-13 03:00:00,42250.8,42437.42723033033,0.0,0.0
2022-02-13 03:05:00,42209.61,42436.78456899907,0.0,0.0
2022-02-13 03:10:00,42195.46,42436.14503553088,0.0,0.0
2022-02-13 03:15:00,42192.55,42435.32105863095,0.0,0.0
2022-02-13 03:20:00,42167.05,42434.6418152403,0.0,0.0
2022-02-13 03:25:00,42206.59,42433.974309946716,0.0,0.0
2022-02-13 03:30:00,42202.24,42433.26689185999,0.0,0.0
2022-02-13 03:35:00,42214.58,42432.96114834793,0.0,0.0
