date,open,high,low,close,volume,VWAP
2022-02-08 12:45:00,3065.11,3067.47,3050.0,3051.63,3585.0,3056.3666666666663
2022-02-08 12:50:00,3051.63,3064.71,3051.6,3055.42,2015.0,3056.6821101190467
2022-02-08 12:55:00,3055.41,3066.53,3054.52,3066.36,1076.0,3057.6149695426398
2022-02-08 13:00:00,3066.35,3077.9,3062.38,3076.38,1780.0,3060.689349180069
2022-02-08 13:05:00,3076.38,3082.6,3071.47,3071.62,1680.0,3063.099401802157
2022-02-08 13:10:00,3071.62,3075.59,3064.72,3068.32,1767.0,3064.0560032484805
2022-02-08 13:15:00,3068.32,3071.85,3061.93,3061.93,785.0,3064.1290502837323
2022-02-08 13:20:00,3061.94,3075.26,3058.22,3074.96,1694.0,3064.759317897371
2022-02-08 13:25:00,3074.97,3076.45,3071.26,3076.28,989.0,3065.3965614902518
2022-02-08 13:30:00,3076.29,3078.32,3070.71,3077.0,789.0,3065.8822052392734
2022-02-08 13:35:00,3076.99,3085.07,3076.13,3083.99,1684.0,3067.3778164462374
2022-02-08 13:40:00,3083.76,3085.49,3078.8,3079.22,927.0,3068.0589391437143
2022-02-08 13:45:00,3079.23,3087.09,3076.06,3086.0,1434.0,3069.122892683329
2022-02-08 13:50:00,3086.0,3091.45,3084.45,3086.86,1850.0,3070.6716563137606
2022-02-08 13:55:00,3086.96,3092.47,3083.91,3092.15,1765.0,3072.067528547439
2022-02-08 14:00:00,3092.15,3092.56,3085.67,3088.46,1934.0,3073.331314876654
2022-02-08 14:05:00,3088.45,3088.98,3084.24,3086.09,1428.0,3074.0198014617517
2022-02-08 14:10:00,3086.08,3092.76,3085.88,3089.64,1555.0,3074.8534888819295
2022-02-08 14:15:00,3089.64,3099.99,3089.64,3093.79,2384.0,3076.3564518063904
2022-02-08 14:20:00,3093.79,3097.88,3092.0,3097.54,1271.0,3077.119640960731
2022-02-08 14:25:00,3097.54,3098.7,3086.47,3086.48,1241.0,3077.615198168465
2022-02-08 14:30:00,3086.48,3101.96,3078.23,3079.16,4151.0,3078.5858011327546
2022-02-08 14:35:00,3079.16,3100.79,3077.59,3096.59,2225.0,3079.312704474826
2022-02-08 14:40:00,3096.58,3097.95,3090.38,3093.62,923.0,3079.6435212059023
2022-02-08 14:45:00,3093.62,3102.44,3091.01,3091.02,1410.0,3080.149013036701
2022-02-08 14:50:00,3091.03,3093.76,3073.0,3081.71,3465.0,3080.351307878708
