date,close,VWAP,signal,positions
2022-01-18 04:10:00,169.9431,170.19,0.0,0.0
2022-01-18 04:15:00,169.8133,170.1591,0.0,0.0
2022-01-18 04:20:00,169.6835,169.9871,0.0,0.0
2022-01-18 04:25:00,169.4837,169.932,0.0,0.0
2022-01-18 04:30:00,169.7833,169.912,0.0,0.0
2022-01-18 04:35:00,169.5936,169.8942,0.0,0.0
2022-01-18 04:40:00,169.6135,169.8677,0.0,0.0
2022-01-18 04:45:00,169.4837,169.8585,0.0,0.0
2022-01-18 04:50:00,169.8832,169.8567,1.0,1.0
2022-01-18 04:55:00,170.2328,169.8667,1.0,0.0
2022-01-18 05:00:00,169.9931,169.8696,1.0,0.0
2022-01-18 05:10:00,170.1529,169.8752,1.0,0.0
2022-01-18 05:15:00,170.4625,169.8941,1.0,0.0
2022-01-18 05:20:00,169.9931,169.9007,1.0,0.0
2022-01-18 05:25:00,170.1628,169.9046,1.0,0.0
2022-01-18 05:30:00,170.1329,169.9083,1.0,0.0
2022-01-18 05:35:00,170.2527,169.9158,1.0,0.0
2022-01-18 05:40:00,170.033,169.9196,1.0,0.0
2022-01-18 05:45:00,169.9631,169.9193,1.0,0.0
2022-01-18 05:50:00,169.8932,169.9195,0.0,-1.0
2022-01-18 06:00:00,169.9431,169.9214,1.0,1.0
2022-01-18 06:05:00,169.4338,169.9055,0.0,-1.0
2022-01-18 06:10:00,169.7733,169.8997,0.0,0.0
2022-01-18 06:15:00,169.7833,169.8958,0.0,0.0
2022-01-18 06:20:00,169.9431,169.8962,1.0,1.0
2022-01-18 06:25:00,169.9431,169.8969,1.0,0.0
2022-01-18 06:30:00,169.8832,169.8967,0.0,-1.0
2022-01-18 06:35:00,169.8832,169.8982,0.0,0.0
2022-01-18 06:40:00,170.023,169.8995,1.0,1.0
2022-01-18 06:45:00,170.033,169.9005,1.0,0.0
2022-01-18 06:50:00,169.9132,169.9019,1.0,0.0
2022-01-18 06:55:00,169.8133,169.9008,0.0,-1.0
2022-01-18 07:00:00,169.8832,169.9008,0.0,0.0
2022-01-18 07:05:00,170.1728,169.9582,1.0,1.0
2022-01-18 07:10:00,170.2527,169.9761,1.0,0.0
2022-01-18 07:15:00,170.2228,170.0051,1.0,0.0
2022-01-18 07:20:00,170.053,170.0114,1.0,0.0
2022-01-18 07:25:00,169.7933,169.9957,0.0,-1.0
2022-01-18 07:30:00,169.8732,169.9842,0.0,0.0
2022-01-18 07:35:00,169.8832,169.9789,0.0,0.0
2022-01-18 07:40:00,170.013,169.9788,1.0,1.0
2022-01-18 07:45:00,170.0829,169.9831,1.0,0.0
2022-01-18 07:50:00,170.2927,169.9992,1.0,0.0
2022-01-18 07:55:00,170.3826,170.0217,1.0,0.0
2022-01-18 08:00:00,170.3826,170.0287,1.0,0.0
2022-01-18 08:05:00,170.4325,170.1119,1.0,0.0
