,roi_daily,total,roi_daily_buy&hold,roi_buy&hold,sharpe,roi_gross,sharpe_buy&hold
2020-04-22,0.0,99564.88080000001,,0.0,,-0.4351191999999864,
2020-04-23,0.002227276824526747,99784.3908,-0.00849885458442834,-0.8498854584428336,,-0.21560920000000625,
2020-04-24,0.0021785601981656744,99998.10080000001,0.015130220374846015,0.6502776247621513,1.0000000000000002,-0.001899199999985285,
2020-04-27,0.0019393068000719937,100196.6808,0.03028378539079246,3.698349031874124,1.9996333097533963,0.1966808000000019,0.34371769763030524
2020-04-28,0.006470669843358212,100861.6608,0.006983109273006827,4.422485934594094,2.9789801929404494,0.8616607999999979,1.2591466723317803
2020-04-29,0.006746942659653726,101571.92,0.031024429174756563,7.662133953723911,2.4171988834536418,1.5719199999999982,1.5167914251570762
2020-04-30,-0.003716923439412767,101162.78,-0.04523097740781523,2.7924704051858424,2.9329095930217877,1.1627799999999988,2.2064944884267557
2020-05-01,-0.004401220614314411,100696.021,-0.0327870083316506,-0.5777871784199379,1.6525985901563358,0.6960209999999933,0.45564283516611903
2020-05-04,-0.0030932039390912714,100390.6734,-0.011868227540232534,-1.7577526227398776,0.9868875627443414,0.39067339999999967,-0.04188788459347207
2020-05-05,0.007801911084642915,101149.17339999999,0.005896447124071447,-1.1784724057299172,0.675511133789377,1.1491733999999851,-0.20085801358172042
2020-05-06,-0.0015084814410781023,100993.78339999999,-0.007038287445851776,-1.8740067227765684,1.1473561499889275,0.9937833999999858,-0.12131761163826278
2020-05-07,0.0030188695771701467,101303.0134,0.023718999383820938,0.45344365130271763,1.0203869282785045,1.3030133999999962,-0.21510851804451414
2020-05-08,0.006961341041485325,101998.97339999999,0.032771343808911224,3.7454379899886403,1.2273208542920242,1.9989733999999881,0.09681859743746613
2020-05-11,-0.005237817582214843,101447.1034,-0.009842032611049545,2.724372006043559,1.603542450007112,1.4471034000000071,0.4784179922614564
2020-05-12,-0.0017503779851995305,101261.3434,-0.031864113792698934,-0.548849072840545,1.1478013315755866,1.261343399999998,0.35796228952872977
2020-05-13,-0.005637957633622531,100687.85339999999,-0.03219307502202595,-3.750487435665418,1.0291775415055096,0.6878533999999926,-0.014443659095142438
2020-05-14,0.0014004960591897542,100822.3334,0.02386685682377454,-1.4533140999343597,0.6518893014837764,0.8223334000000032,-0.3470186997433933
2020-05-15,0.002655956184181474,101104.12339999998,0.00039745572413374397,-1.4141461555289716,0.728946056961417,1.1041233999999822,-0.09665092050004342
2020-05-18,0.008222248107977653,101941.05319999998,0.07194176026911725,5.678293707676203,0.8704515442626636,1.9410531999999803,-0.09268541588313069
2020-05-19,0.004491265448219322,102418.21849999999,-0.0077679182947624215,4.857393356625064,1.2248055584196487,2.418218499999988,0.5130097863823161
2020-05-20,0.005155437644872085,102952.18849999999,0.02465381209173545,7.442527828868493,1.4346218139312708,2.9521884999999894,0.44771637150359395
2020-05-21,-0.0025617900523249694,102677.78069999997,-0.014977284889557962,5.833330480321266,1.6653898489378804,2.6777806999999743,0.6392594194547975
2020-05-22,-0.0043875358981162625,102221.61069999999,-0.002559557345848229,5.562444001854776,1.5098860024161205,2.22161069999999,0.5133535523373824
2020-05-26,0.008595644937420942,103091.4907,0.03641257257056041,9.406244154798042,1.2518048762203535,3.091490699999995,0.4925911682836826
2020-05-27,0.003555856967458243,103449.8807,0.03166774312436371,12.870892990893612,1.5620180227425071,3.4498806999999942,0.756405007634473
2020-05-28,-0.006551510213630341,102749.5207,-0.012385829930556036,11.472893306198413,1.7125617236462736,2.749520699999994,0.979185947303951
2020-05-29,-0.002896119752411108,102442.74069999998,0.0012193585821931308,11.608818735333218,1.3444924502857867,2.4427406999999803,0.8784878432700419
2020-06-01,0.0022126482291233486,102670.24070000001,0.0055730493662131675,12.230820191849968,1.2082518511151086,2.6702407000000097,0.8873500776187571
2020-06-02,0.00819886539080753,103532.5407,0.011991195814503586,13.576601933192798,1.2978875799065814,3.5325406999999975,0.9289477868245427
2020-06-03,0.007650607688756139,104348.6037,0.026074622994491037,16.538069009596175,1.5690402777076058,4.348603700000007,1.0169616844702387
2020-06-04,0.0063818291077973825,105036.1737,0.007669279242924487,17.431832003261967,1.8156773973307034,5.0361737,1.1969082876728363
2020-06-05,0.00021171675745771946,105074.0437,0.031079261267465297,21.08152659120843,2.0261452059334357,5.0740436999999945,1.2532736320380873
2020-06-08,0.0043288543477909835,105563.6337,0.012864365694401414,22.63916362811411,2.031778421401815,5.563633700000006,1.4576112357320363
2020-06-09,-0.0034065318276269687,105165.74369999999,-0.02871687682728108,19.117349872004795,2.1841683839106905,5.165743699999991,1.5491957951093818
2020-06-10,-0.004728835086646743,104635.7737,-0.025679230258667918,16.058508016839273,2.0209443502628703,4.635773700000005,1.300780872561501
2020-06-11,-0.004985795658726933,104079.41559999998,-0.06820531883658998,8.142700473851814,1.8007663188339802,4.079415599999979,1.0953884272231003
2020-06-12,0.003928023058683722,104518.51559999998,0.02247757490974256,10.573486124694668,1.5826896147995473,4.518515599999985,0.5632406103088856
2020-06-15,0.0014587829471304937,104684.7556,0.017749989298190272,12.536164320071592,1.7125371564836087,4.684755600000004,0.6964272792876248
2020-06-16,0.0002967028969678265,104735.5935,0.017572223760794925,14.51367498068548,1.7636652129136614,4.735593500000003,0.8017135861635875
2020-06-17,-0.0013138484201696055,104578.7835,-0.008276820259254802,13.56586587564362,1.7733961840699874,4.578783500000005,0.9053968407068982
2020-06-18,0.00045998313739309404,104620.13349999998,0.00023489239913265791,13.592541634338733,1.7213695615156566,4.620133499999982,0.8529809864442898
