,PricesA,PricesB,Spread,Buy signal,Short signal,Exit signal,stateA,stateB,cash,assets,holding,debt,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold,Asset A,Asset B,Pair Number
2020-04-22,69.18,29.71,0.0,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,XYL,LUV,1
2020-04-23,68.0,30.14,-0.03153019420943859,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.017056952876554014,0.0,-0.0012918557718346602,0.0,0.0,XYL,LUV,1
2020-04-24,68.52,29.33,0.0032499767191552786,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.009540329575021838,0.0,-0.009886233750897588,0.0,-1.0,XYL,LUV,1
2020-04-27,70.77,29.11,0.043178741713405855,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.022983521248915714,0.0,0.012701282180535012,0.0,-1.2009393956120629,XYL,LUV,1
2020-04-28,73.46,29.69,0.06254076580501733,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.061867591789534354,0.0,0.029162401721015696,0.0,0.0817851299103831,XYL,LUV,1
2020-04-29,73.79,30.97,0.0242277936016162,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.06663775657704538,0.0,0.023216297000309805,0.0,0.9034687290838885,XYL,LUV,1
2020-04-30,71.9,31.25,-0.012516677307253365,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.039317721884937824,0.0,-0.008485155793033883,0.0,1.4410402434967977,XYL,LUV,1
2020-05-01,69.29,29.23,0.01774623130076236,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.001590054929170272,0.0,-0.050555022494057744,0.0,1.112895493307564,XYL,LUV,1
2020-05-04,68.55,27.56,0.06325952843372018,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.009106678230702653,0.0,-0.03369881222199733,0.0,-0.0735140953274633,XYL,LUV,1
2020-05-05,65.05,26.42,0.05103779047901491,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.05969933506793884,0.0,-0.0463707679809906,0.0,-0.5055410835203995,XYL,LUV,1
2020-05-06,63.06,24.93,0.07242371545932746,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.0884648742411102,0.0,-0.043134333204507325,0.0,-0.977558535368884,XYL,LUV,1
2020-05-07,63.55,25.45,0.06200416301398237,-0.17728372234017806,0.17728372234017806,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,-0.08138190228389722,0.0,0.014043666641653907,0.0,-1.3744194230920417,XYL,LUV,1
