,roi_daily,total,roi_daily_buy&hold,roi_buy&hold,sharpe,roi_gross,sharpe_buy&hold
2021-04-22,0.0,100000.0,,0.0,,0.0,
2021-04-23,0.0,100000.0,0.007903501945873082,0.790350194587314,,0.0,
2021-04-26,0.0,100000.0,-0.0059903665369441805,0.1865790535347769,0.0,0.0,
2021-04-27,0.0,100000.0,-0.01160939757927637,-0.9765267748053157,0.0,0.0,0.16864293650548579
2021-04-28,0.0,100000.0,0.0018910638917537526,-0.7892670601530991,0.0,0.0,-0.6435459793419025
2021-04-29,0.0,100000.0,0.012282081813602241,0.4292472786015423,0.0,0.0,-0.5078183738641667
2021-04-30,-0.0006891599999999998,99931.084,-0.007468595318282145,-0.3208181274420203,0.0,-0.06891599999999744,0.22397687993380996
2021-05-03,8.578235536041979e-05,99939.544,0.0068392254361111515,0.36091026867153414,-1.0,-0.06045600000000559,-0.14033601052225622
2021-05-04,-4.0388343539410346e-05,99935.554,0.0009197506713929382,0.453217283272752,-0.8539960886219756,-0.06444599999999627,0.1723834685931227
2021-05-05,0.00021122248890397265,99956.40400000001,0.008915892958675897,1.3488474159250328,-0.917218284059395,-0.043595999999990455,0.21408639046311057
2021-05-06,-8.867315900802364e-05,99947.614,0.0058511952052129335,1.9418593059789417,-0.5746923507620142,-0.0523859999999986,0.580026578078661
2021-05-07,-9.186246138036536e-05,99938.524,0.0063689935010911025,2.5911263453878637,-0.694718796528876,-0.06147599999999511,0.8165956760026912
2021-05-10,0.0005239419713258475,99990.274,0.010759287203079282,3.694933738225285,-0.8191079327740076,-0.00972599999999511,1.0672214825864406
2021-05-11,-4.3584781116229324e-05,99985.924,-0.016348169377645827,1.9997113978690177,-0.09464583724490422,-0.014076000000000933,1.4341306957635824
2021-05-12,-0.00018652510547694233,99967.324,-0.023311029007841766,-0.3780068333181989,-0.14123496364941884,-0.032676000000006755,0.641610933090259
2021-05-13,0.00034183395325129153,100001.284,0.019872660911783635,1.6017472562392938,-0.3346763185600186,0.0012839999999996507,-0.07540844139426724
2021-05-14,-8.51781262571738e-05,99992.764,0.009446869529785129,2.5615657065671984,0.02217249481182981,-0.007236000000004424,0.38155170784286074
2021-05-17,1.201739156919679e-06,99992.884,0.0022480689021298073,2.7921311729858718,-0.061341078891349606,-0.0071159999999945295,0.585616065124841
2021-05-18,-0.00016072874915580847,99976.834,-0.010737583301761333,1.6883921017503598,-0.06026700907175489,-0.02316599999999744,0.6357178994723907
2021-05-19,0.00012718929343433772,99989.494,-0.00460068379689571,1.220555963875464,-0.21582754925469907,-0.010505999999993946,0.38325310564138704
2021-05-20,-0.0003324986461553048,99956.314,0.000453222845979262,1.2664314323210129,-0.09153644162329966,-0.043686000000001515,0.2824948160333561
2021-05-21,0.00015616443994469486,99971.794,0.0007179794071536794,1.3391386447253608,-0.39344072528496205,-0.028206000000005588,0.2922060848722455
2021-05-24,9.322590598080938e-05,99981.064,0.005929470207370446,1.940026048159838,-0.24673421847933366,-0.018936000000001514,0.3075712315745499
2021-05-25,-2.981290744307752e-05,99978.094,-0.0035927387428260626,1.5737821671319108,-0.16136224011271633,-0.02190600000000268,0.4316475197381426
2021-05-26,9.461452515763247e-05,99987.514,0.0008755706812377806,1.6627171927798772,-0.18852338535715454,-0.012486000000004422,0.35385466486534584
2021-05-27,-5.2029929139052467e-05,99982.324,0.007652989741135929,2.4407409245122254,-0.1023469571645072,-0.017676000000006752,0.37238896940797717
2021-05-28,2.1977695549313393e-05,99984.514,9.394813786545164e-05,2.4503650413636495,-0.14935556487218948,-0.015486000000004423,0.528789898983071
2021-06-01,3.099600081371001e-05,99987.60399999999,0.00303283820632938,2.7610804227134795,-0.12954700190456997,-0.012396000000007918,0.5306939051219846
