,PricesA,PricesB,Spread,Buy signal,Short signal,Exit signal,stateA,stateB,cash,assets,holding,debt,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold,Asset A,Asset B,Pair Number
2020-06-25,9247.12143249561,151.29,0.1792429306629142,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2980862970288363,0.0,-0.0004275400986967215,0.0,1.215096961960016,BTC,MCK,7
2020-06-26,9159.43777206312,148.21,0.189711827373936,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2857774981326994,0.0,-0.014516969622530795,0.0,1.2123194866216143,BTC,MCK,7
2020-06-29,9184.24736627703,151.77,0.16686706583197353,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.28926020294186844,0.0,0.012515589418162554,0.0,1.118996266778137,BTC,MCK,7
2020-06-30,9143.96758530099,153.42,0.14901036044404115,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.28360583448634263,0.0,0.002715136694040776,0.0,1.1918674154354356,BTC,MCK,7
2020-07-01,9241.33961239041,150.91,0.18124152931620352,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.297274660509814,0.0,-0.0020236184671478252,0.0,1.2081436093283868,BTC,MCK,7
2020-07-02,9094.38728679135,152.73,0.1471532055333793,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2766458841312197,0.0,-0.00297070642999242,0.0,1.195618533487312,BTC,MCK,7
2020-07-06,9338.94259117475,151.51,0.19050556229400262,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.31097590691757904,0.0,0.010517968168629155,0.0,1.1772742605799162,BTC,MCK,7
2020-07-07,9252.15873261251,145.8,0.22055055633158238,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2987934198133161,0.0,-0.022377615055902855,0.0,1.2387237386678995,BTC,MCK,7
2020-07-08,9434.56795645821,144.57,0.2552529652548745,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.3243995412051778,0.0,0.006945553997832032,0.0,1.093532643320091,BTC,MCK,7
2020-07-09,9231.50234751607,140.89,0.25396206453380876,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2958937314469871,0.0,-0.02327956766570871,0.0,1.1340488339066337,BTC,MCK,7
2020-07-10,9285.22101542957,143.02,0.24575084049588902,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.30343461508544683,0.0,0.00996352906901321,0.0,0.9862810062585153,BTC,MCK,7
2020-07-13,9236.62250116891,144.98,0.22443381319622802,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.29661248499034126,0.0,0.0032496325228765777,0.0,1.0430985690417747,BTC,MCK,7
2020-07-14,9260.3569868498,147.84,0.2066148797812486,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2999442689248663,0.0,0.010335441017630176,0.0,1.0619970508378227,BTC,MCK,7
2020-07-15,9196.72555897136,153.5,0.15582475592404843,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.29101185842367866,0.0,0.013757433356533788,0.0,1.1208077159263559,BTC,MCK,7
2020-07-16,9132.59231209818,153.37,0.1477832976510458,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2820090039075166,0.0,-0.004106938845414909,0.0,1.198085212008679,BTC,MCK,7
2020-07-17,9156.46870976037,154.81,0.1404856905799119,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2853607090683013,0.0,0.005794560161646256,0.0,1.1735031287087383,BTC,MCK,7
2020-07-20,9167.19056750439,153.5,0.15167871242434816,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.2868658149239785,0.0,-0.0033670849458332652,0.0,1.2068539332264563,BTC,MCK,7
2020-07-21,9388.57434979544,155.98,0.16441549642931608,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.31794308110613895,0.0,0.02040324883236644,0.0,1.1867558926299606,BTC,MCK,7
2020-07-22,9531.2574301578,156.25,0.18244822147997897,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.33797255220028655,0.0,0.008912190398446374,0.0,1.297876045299191,BTC,MCK,7
2020-07-23,9609.16671537113,156.66,0.19035282375190232,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.34890925031602005,0.0,0.005602090002688076,0.0,1.3483694396714718,BTC,MCK,7
2020-07-24,9548.1007270602,155.34,0.1915424123756393,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.3403369693938318,0.0,-0.007311825097811475,0.0,1.380467449265815,BTC,MCK,7
2020-07-27,11046.5083295149,157.15,0.38849929000029926,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.550679440865556,0.0,0.08988197808947551,0.0,1.3361895832784487,BTC,MCK,7
2020-07-28,10944.6129789012,153.89,0.398304351494706,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.536375642723814,0.0,-0.014159471391360645,0.0,1.658823768973552,BTC,MCK,7
2020-07-29,11115.7712819988,155.7,0.4089455047273265,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.5604023898034985,0.0,0.013988814080319711,0.0,1.5790896878351364,BTC,MCK,7
2020-07-30,11135.3907261835,153.61,0.42715592353582466,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.5631565151642821,0.0,-0.0046839333458756904,0.0,1.6486287467698881,BTC,MCK,7
2020-07-31,11338.1973407949,150.16,0.481139353581441,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.5916259679875938,0.0,0.0010949624212570619,0.0,1.6231151311878946,BTC,MCK,7
2020-08-03,11236.0956805377,159.9,0.39477582956122204,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.5772932086471558,0.0,0.02135292426943569,0.0,1.6285948981354563,BTC,MCK,7
2020-08-04,11202.651909059,157.02,0.411379706389875,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.5725984610119723,0.0,-0.009418534813423918,0.0,1.7309799827019903,BTC,MCK,7
2020-08-05,11721.4384715956,153.67,0.5089800250258614,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.6454243379973152,0.0,0.017576681813218586,0.0,1.6791166957553918,BTC,MCK,7
2020-08-06,11769.3091081239,151.75,0.5298990605579139,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.6521442905534767,0.0,-0.0026885275180498214,0.0,1.7642779367127062,BTC,MCK,7
2020-08-07,11598.9690585038,152.0,0.5041383387946039,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.628232407719319,0.0,-0.007952395920468702,0.0,1.7496577517178509,BTC,MCK,7
2020-08-10,11870.3695447107,152.39,0.5393526280319132,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.6663308856861062,0.0,0.014890190914500723,0.0,1.7063078446106428,BTC,MCK,7
2020-08-11,11392.6440884278,151.31,0.4802777840391461,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.5992690575194006,0.0,-0.02686734925834211,0.0,1.7789105061685029,BTC,MCK,7
2020-08-12,11575.5124736996,153.0,0.49345021012895196,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.6249396347702771,0.0,0.014041601526043168,0.0,1.6239235412290391,BTC,MCK,7
2020-08-13,11773.4481155465,152.19,0.527226126889315,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.6527253134001862,0.0,0.007907129126010437,0.0,1.6917197927007501,BTC,MCK,7
2020-08-14,11774.4082518995,158.67,0.47943900323167465,-0.5415306579661342,0.5415306579661342,0,0,0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.6528600947861782,0.0,0.017297625311116116,0.0,1.7307769971161202,BTC,MCK,7
2020-08-17,12315.7624166569,155.79,0.5767314846207168,-0.5415306579661342,0.5415306579661342,0,2,1,5132.288992507493,15.0,2336.85,2497.502497502498,4971.636495004995,-0.5672700999001062,0.7288539517113838,-0.005672700999001079,0.019352367600827813,0.0,1.8129280368756429,BTC,MCK,7
2020-08-18,11992.6959962595,155.54,0.5332291192416498,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2333.1,2431.9881456901867,5033.400846817306,0.6680169363461209,0.6835027474031643,0.012423344279970161,-0.01638334938437236,-1.0000000000000002,1.9036839614128211,BTC,MCK,7
2020-08-19,11736.8490645237,153.34,0.5135837904348772,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2300.1,2380.1051741476126,5052.28381835988,1.0456763671975933,0.6475876360198499,0.003751533429830811,-0.018415318304521366,0.49203005266574407,1.8132029717748464,BTC,MCK,7
2020-08-20,11867.5203439509,151.89,0.5426503426702283,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2278.35,2406.6038865846026,5004.035105922891,0.0807021184578116,0.6659309224661162,-0.009549881632075818,0.0027394463592422813,0.7395148353205987,1.7122083853638073,BTC,MCK,7
2020-08-21,11524.6989491525,150.97,0.5013297148894329,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2264.55,2337.0834410985562,5059.755551408937,1.195111028178744,0.61780656742604,0.011135102833330413,-0.019693050259835476,0.055420703005824204,1.7256487567755052,BTC,MCK,7
2020-08-24,11771.4080537405,149.66,0.5456499984052947,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2244.9,2387.113360807936,4990.075631699558,-0.19848736600884875,0.6524389349531429,-0.013771400416760615,0.009122847820466573,0.5905387088484247,1.6187894550032558,BTC,MCK,7
2020-08-25,11358.4543202805,152.0,0.47037551993250903,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2280.0,2303.3708407935483,5108.918151713945,2.1783630342789,0.5944695888572241,0.023815775307980847,-0.014737533691601468,-0.06804718650452819,1.662566807266741,BTC,MCK,7
2020-08-26,11472.0491204559,152.08,0.4857300272102678,-0.5415306579661342,0.5415306579661342,0,0,0,5132.288992507493,15.0,2281.2000000000003,2326.406629203826,5087.082363303667,1.7416472660733415,0.6104157245923121,-0.004274053285224899,0.006083272740396328,0.6441512331213036,1.5848097240725088,BTC,MCK,7
