,roi_daily,total,roi_daily_buy&hold,roi_buy&hold,sharpe,roi_gross,sharpe_buy&hold
2020-04-22,0.0,100000.0,,0.0,,0.0,
2020-04-23,0.0,100000.0,0.016232162673359918,1.6232162673359851,,0.0,
2020-04-24,0.0,100000.0,0.0034563322060581214,1.9744598626039807,0.0,0.0,
2020-04-27,0.0,100000.0,0.05706748778666526,7.793886105364931,0.0,0.0,1.8874219715659277
2020-04-28,0.0,100000.0,0.0014090455384387912,7.945772599652686,0.0,0.0,1.8273482796781992
2020-04-29,0.0,100000.0,0.05668441600966645,14.06461568017624,0.0,0.0,1.6895075936990114
2020-04-30,0.0,100000.0,-0.024001825870811677,11.326856636599594,0.0,0.0,2.369077947307106
2020-05-01,0.0,100000.0,0.005214415446129994,11.907361117414577,0.0,0.0,1.5048009631308896
2020-05-04,0.0,100000.0,0.05059256039574067,17.569041043475327,0.0,0.0,1.559430409404719
2020-05-05,0.0,100000.0,0.004253095369556981,18.069073387540598,0.0,0.0,2.0606704587636795
2020-05-06,0.0,100000.0,-0.01606292494415862,16.172538723490188,0.0,0.0,2.077722616401426
2020-05-07,0.0,100000.0,0.019690021826070048,18.459978546545667,0.0,0.0,1.7457665829640197
2020-05-08,0.0,100000.0,0.009861892253464566,19.628218091319432,0.0,0.0,1.9674521121028719
2020-05-11,0.0,100000.0,-0.08981612250477089,8.883675400202032,0.0,0.0,2.0756130084371276
2020-05-12,0.0,100000.0,-0.0021106808830827495,8.653856708055043,0.0,0.0,0.7018988206858076
2020-05-13,0.0,100000.0,0.005000097610412091,9.197136597343052,0.0,0.0,0.684965931196618
2020-05-14,0.0,100000.0,0.007804833662918842,10.049402084952337,0.0,0.0,0.7221945994801656
2020-05-15,0.0,100000.0,0.022784354133899898,12.556806634279827,0.0,0.0,0.7802001500460927
2020-05-18,0.0,100000.0,0.027928739623139354,15.700376379580675,0.0,0.0,0.9428666185867829
2020-05-19,0.0,100000.0,-0.007044237609028614,14.885355436908867,0.0,0.0,1.136632285324682
2020-05-20,0.0,100000.0,-0.010002278273089416,13.736240142326118,0.0,0.0,1.0787790315346957
2020-05-21,0.0,100000.0,-0.03013182342501719,10.30915983733219,0.0,0.0,0.9985590702036011
2020-05-22,0.0,100000.0,0.027644420632073397,13.35859265144603,0.0,0.0,0.7568584135684235
2020-05-26,0.0,100000.0,0.024704102432124397,16.159014935868807,0.0,0.0,0.9383483497076939
2020-05-27,0.0,100000.0,0.012127460723495354,17.567728827183473,0.0,0.0,1.0998283494808554
2020-05-28,0.0,100000.0,0.013093814182987495,19.10713882236247,0.0,0.0,1.1819912008959972
2020-05-29,0.0,100000.0,0.03279234529813091,23.01294124609779,0.0,0.0,1.2704114396152801
2020-06-01,0.0,100000.0,0.00117578500329385,23.157578017626015,0.0,0.0,1.4730161620805977
2020-06-02,0.0,100000.0,-0.014653501529814927,21.352888259736428,0.0,0.0,1.4793037504524498
2020-06-03,0.0,100000.0,0.0028664630950010483,21.70074183540474,0.0,0.0,1.365613040589691
2020-06-04,0.0,100000.0,-0.006734602332855055,20.88113573552984,0.0,0.0,1.3841118895572246
2020-06-05,0.0,100000.0,0.006069270347005329,21.614796028161816,0.0,0.0,1.3339673698546992
2020-06-08,0.0,100000.0,0.008945877928204782,22.702747147693284,0.0,0.0,1.3741181040385018
2020-06-09,0.0,100000.0,-0.01895236392388666,20.377240029289563,0.0,0.0,1.4331410665031137
2020-06-10,0.0,100000.0,0.0010434095588958137,20.50284279220963,0.0,0.0,1.2899427780102022
2020-06-11,0.0,100000.0,-0.07075093105681118,11.977154469668253,0.0,0.0,1.2961226459405886
2020-06-12,0.0,100000.0,0.018443559157899303,14.042411742462821,0.0,0.0,0.7493466044132003
2020-06-15,0.0,100000.0,-0.005755628548988478,13.386025981642408,0.0,0.0,0.8540897724015085
2020-06-16,0.0,100000.0,0.006449589726157168,14.117319329903403,0.0,0.0,0.8192737380179529
2020-06-17,0.0,100000.0,0.0033971455850745347,14.504992477445528,0.0,0.0,0.8567013114369949
2020-06-18,0.0,100000.0,-0.003084353943818119,14.151818552310855,0.0,0.0,0.8764687649746097
2020-06-19,0.0,100000.0,0.004116451267574428,14.62171895048645,0.0,0.0,0.8578629282935606
2020-06-22,0.0,100000.0,0.009044718785404582,15.658440165093285,0.0,0.0,0.8817936304839794
2020-06-23,0.0,100000.0,6.479539160397785e-05,15.665934299016095,0.0,0.0,0.9339251201181579
2020-06-24,0.0,100000.0,-0.026473662057004965,12.603833442876203,0.0,0.0,0.9340955591727347
2020-06-25,0.0,100000.0,0.005403140749839608,13.212247803939551,0.0,0.0,0.7688866469816376
2020-06-26,0.0,100000.0,-0.01547782699073974,11.459968219197414,0.0,0.0,0.7997395522581113
2020-06-29,0.0,100000.0,-0.01688626324716147,9.577825854327791,0.0,0.0,0.7072942969209299
2020-06-30,0.0,100000.0,0.0013067307783993787,9.721014572001732,0.0,0.0,0.6075370180854726
2020-07-01,0.0,100000.0,0.004738229847958797,10.240897958195113,0.0,0.0,0.6149238361459857
2020-07-02,0.0,100000.0,-0.0046337659677316845,9.730067436984244,0.0,0.0,0.6416651991454198
2020-07-06,0.0,100000.0,0.043331986199915073,14.484889204879408,0.0,0.0,0.6150006848340537
2020-07-07,0.0,100000.0,0.004996000806173573,15.056855803641668,0.0,0.0,0.8379313846857652
2020-07-08,0.0,100000.0,0.033444738648021666,18.904902275657587,0.0,0.0,0.8653970413864804
2020-07-09,0.0,100000.0,0.0038775890260136503,19.36596661986089,0.0,0.0,1.035402324755414
