,DateTime,P_Neg,P_Neu,P_Pos,P_Comp,Prices,ema_short,trading_positions_raw,sentiment_level,trading_positions,cash,stock,holding,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold
34,2021-02-04,0.02564861996380134,0.8926868358361999,0.08166878989397404,0.19741539226848862,1595.67,1448.287187828455,147.38281217154508,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,118.91179981067623,0.0,-0.04134599787322235,0.9971333826029962,1.8726534504895196
35,2021-02-05,0.027362334800449237,0.902741188880893,0.06989867823190232,0.16753810585198498,1719.19,1497.5422445869176,221.64775541308245,neg,-1,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,135.85765046439207,0.0,0.07740948943077197,0.997135851732351,2.0225750195081975
36,2021-02-06,0.026539185072724535,0.9019529777914753,0.07150783710952463,0.15832554827791676,1676.35,1530.0527455711142,146.2972544288857,neg,-1,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,129.98038166577493,0.0,-0.02491871171889093,0.9971381797854001,1.9604314598509311
37,2021-02-07,0.03009478039374309,0.8947197799007971,0.07518681325018406,0.15098365327307525,1611.62,1544.8831554672752,66.73684453272472,neg,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,121.09999862808851,0.0,-0.03861365466638833,0.997140378517141,1.8655203758245649
38,2021-02-08,0.019415853708619025,0.9089780490209417,0.07161829270785902,0.18629048707690543,1750.15,1582.2043999277705,167.94560007222958,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,140.10508841969516,0.0,0.08595698737915902,0.9971424584119044,2.0252459228951656
39,2021-02-09,0.01900581400408301,0.9102651160123736,0.07073023266180657,0.17845372051910258,1769.13,1616.1908726681759,152.93912733182424,,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,142.70897641684164,0.0,0.010844784732737311,0.9971444288505283,2.046803081303489
40,2021-02-10,0.021218509056574276,0.9020025709064576,0.07677892045833765,0.20184601531759058,1740.78,1638.843441273962,101.9365587260379,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,138.8196073589332,0.0,-0.016024825761815187,0.9971462982518154,2.007961450971125
41,2021-02-11,0.01818292688194733,0.9117601622895497,0.07005284549441279,0.191868833980465,1785.62,1665.5300883150599,120.08991168494003,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,144.97125845440453,0.0,0.025758567998253712,0.9971480741927773,2.0603479947231587
42,2021-02-12,0.02426871169655601,0.8983276069164277,0.0774073618824131,0.1842363181015465,1840.26,1697.299163166867,142.96083683313304,,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,152.46738280446147,0.0,0.03060001568082793,0.997149763511278,2.1223352429836124
43,2021-02-13,0.021125391957738368,0.8996206893349142,0.07924137926050301,0.20234169246377803,1814.96,1718.6920425910728,96.26795740892726,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,148.99644674925577,0.0,-0.01374805733972373,0.9971513723940243,2.08892115699285
44,2021-02-14,0.01890896150781369,0.8707453761551831,0.1103413944658565,0.2858165028799129,1800.42,1733.5516712108774,66.86832878912264,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,147.0016874511257,0.0,-0.008011195839026763,0.9971529064522663,2.069104150140397
45,2021-02-15,0.022768831221604502,0.8946883113353283,0.08253376630509829,0.2072303893794487,1779.25,1741.860458263445,37.389541736554975,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,144.0973508389239,0.0,-0.011758367492029631,0.9971543707871935,2.041031117284175
46,2021-02-16,0.02263144647362847,0.8994691828136924,0.07790188679717622,0.19449220067065842,1781.99,1749.1567385791823,32.833261420817735,pos,0,135814.90609196376,0.0,0.0,135814.90609196376,35.814906091963756,144.47325458561414,0.0,0.0015399747084445803,0.9971557700465956,2.0427842000134984
