,DateTime,P_Neg,P_Neu,P_Pos,P_Comp,Prices,ema_short,trading_positions_raw,sentiment_level,trading_positions,cash,stock,holding,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold
53,2021-02-23,0.035375314946485784,0.8931536526050916,0.07147355173111562,0.10453312322280373,48891.0,51596.56888522228,-2705.568885222281,neg,0,136672.59654640977,0.0,0.0,136672.59654640977,36.67259654640977,66.68320168391253,0.0,-0.09607864417158285,1.4346042495366873,1.4474453026493714
54,2021-02-24,0.037089350261802816,0.8839305049675896,0.07898465725879054,0.12614783312262134,49676.2,51247.410906090954,-1571.210906090957,neg,0,136672.59654640977,0.0,0.0,136672.59654640977,36.67259654640977,69.36016983678745,0.0,0.016060215581599868,1.4343341336973643,1.48670715804197
55,2021-02-25,0.037904967630350436,0.881775377829183,0.08031749468272628,0.1316917924638878,47073.73,50488.55983225623,-3414.829832256226,neg,0,136672.59654640977,0.0,0.0,136672.59654640977,36.67259654640977,60.487615953939255,0.0,-0.05238866902057715,1.434074166300985,1.3433146292892748
56,2021-02-26,0.04050462491205393,0.8768078108056844,0.082686536613266,0.13301449102581214,46276.87,49722.798044573276,-3445.928044573273,neg,0,136672.59654640977,0.0,0.0,136672.59654640977,36.67259654640977,57.77089557403615,0.0,-0.016927912871998907,1.4338237859549006,1.3000346169663821
57,2021-02-27,0.039701708307325764,0.8735308809286662,0.08677398209287522,0.15200683261352285,46106.43,49065.27658192359,-2958.846581923586,pos,1,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,57.18981756591591,-0.0009990009990008542,-0.0036830494370082567,1.4291754376389052,1.2907310750694925
58,2021-02-28,0.04187919470737844,0.8817706930490682,0.076337807653451,0.11055738211143762,45135.66,48350.800839755655,-3215.1408397556515,neg,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,53.88018896967752,0.0,-0.021054980834560366,1.428946195171537,1.2370589687503715
59,2021-03-01,0.03669920144396063,0.8813939662030448,0.08191748018630225,0.13923549146855047,49587.03,48575.5697779819,1011.4602220180968,,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,69.0561641691972,0.0,0.09862202081458427,1.4287249622567726,1.4405832324484587
60,2021-03-02,0.03723946788416403,0.8795266077748424,0.08322616413797349,0.14612705032976175,48440.65,48551.03890925791,-110.38890925791202,pos,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,65.1478315773827,0.0,-0.02311854531315949,1.428511326323124,1.3823827034248244
61,2021-03-03,0.037496319620406844,0.8836750789583669,0.07883070453366835,0.13874963124514755,50349.37,48878.008198483745,1471.3618015162574,,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,71.65519613769274,0.0,0.03940326977445596,1.4283049026566654,1.4710976281096901
62,2021-03-04,0.03375619305771286,0.8858005214467976,0.08044980462965941,0.1574209901023683,48374.09,48786.38670785034,-412.2967078503425,pos,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,64.92090977369527,0.0,-0.0392314739985824,1.4281053320887787,1.370765373216997
63,2021-03-05,0.03606760207259534,0.8856415817780154,0.07828316331498933,0.1439378820463649,48751.71,48780.08185187755,-28.37185187754949,,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,66.20832280717546,0.0,0.007806245037374371,1.4279122789104515,1.3890036313787468
64,2021-03-06,0.03702325591712299,0.8865963451292032,0.07637873771554014,0.12475149462500779,48882.2,48798.64878789981,83.55121210018842,neg,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,66.65320000313653,0.0,0.0026766240609816805,1.4277254289876593,1.395200377225309
65,2021-03-07,0.0270825957764039,0.8923067842612927,0.08060619489160699,0.15500855411521014,50971.75,49193.75809919075,1777.9919008092475,pos,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,73.77706501057389,0.0,0.04274664397265271,1.4275444880555435,1.4899101223801818
